札幌医科大学,060-8556,札幌市中央区南1条西17丁目,011-611-2111,http://web.sapmed.ac.jp/
釧路公立大学,085-8585,釧路市芦野4-1-1,0154-37-3211,http://www.kushiro-pu.ac.jp/
公立はこだて未来大学,041-8655,函館市亀田中野町116番地2,0138-34-6448,http://www.fun.ac.jp/
名寄市立大学,096-8641,北海道名寄市西4条北8丁目1,01654-2-4194,http://www.nayoro.ac.jp/
札幌市立大学,060-8611,札幌市南区芸術の森1丁目,011-592-2300,http://www.scu.ac.jp/
青森県立保健大学,030-8505,青森市大字浜館字間瀬58番地の1,017-765-2000,http://www.auhw.ac.jp/
青森公立大学,030-0196,青森市大字合子沢字山崎153-4,017-764-1555,http://www.nebuta.ac.jp/
岩手県立大学,020-0693,岩手県滝沢市巣子152-52,019-694-2000,http://www.iwate-pu.ac.jp/
宮城大学,981-3298,宮城県黒川郡大和町学苑1番,022-377-8210,http://www.myu.ac.jp/
秋田県立大学,010-0195,秋田市下新城中野字街道端西241-438,018-872-1500,http://www.akita-pu.ac.jp/index.htm
国際教養大学,010-1292,秋田市雄和椿川字奥椿岱,018-886-5900,http://www.aiu.ac.jp/
秋田公立美術大学,010-1632,秋田県秋田市新屋大川町12-3,018-888-8100,http://www.akibi.ac.jp/
山形県立保健医療大学,990-2212,山形市上柳260番地,023-686-6611,http://www.yachts.ac.jp/
山形県立米沢栄養大学,992-0025,山形県米沢市通町6-15-1,0238-22-7330,http://www.u.yone.ac.jp/
福島県立医科大学,960-1295,福島県福島市光が丘1番地,024-547-1111,http://www.fmu.ac.jp/
会津大学,965-8580,会津若松市一箕町鶴賀字上居合90,0242-37-2500,http://www.u-aizu.ac.jp/
茨城県立医療大学,300-0394,稲敷郡阿見町阿見4669-2,0298-88-4000,http://www.ipu.ac.jp/
群馬県立女子大学,370-1193,佐波郡玉村町上之手1395番1,0270-65-8511,http://www.gpwu.ac.jp/
群馬県立県民健康科学大学,371-0052,前橋市上沖町323-1,027-235-1211,http://www.gchs.ac.jp/
高崎経済大学,370-0801,高崎市上並榎町1300,027-343-5417,http://www.tcue.ac.jp/
前橋工科大学,371-0816,群馬県前橋市上佐鳥町460番地の1,027-265-0111,http://www.maebashi-it.ac.jp/
埼玉県立大学,343-8540,越谷市三野宮820番地,0489-71-0500,http://www.spu.ac.jp/
千葉県立保健医療大学,261-0014,千葉市美浜区若葉2-10-1,043-296-2000,http://www.pref.chiba.lg.jp/hoidai/index.html
首都大学東京,192-0397,八王子市南大沢1-1,042-677-1111,http://www.tmu.ac.jp/
産業技術大学院大学,140-0011,東京都品川区東大井1丁目10番40号,03-3472-7831,http://aiit.ac.jp/
神奈川県立保健福祉大学,238-8522,神奈川県横須賀市平成町1丁目10番1号,046-828-2500,http://www.kuhs.ac.jp/
横浜市立大学,236-0027,横浜市金沢区瀬戸22-2,045-787-2311,http://www.yokohama-cu.ac.jp/
新潟県立看護大学,943-0147,新潟県上越市新南町240番地,0255-26-2811,http://www.niigata-cn.ac.jp/
新潟県立大学,950-8680,新潟市東区海老ヶ瀬471番地,025-270-1300,http://www.unii.ac.jp/
長岡造形大学,940-2088,新潟県長岡市千秋4丁目197番地,0258-21-3311,http://www.nagaoka-id.ac.jp/
山梨県立大学,400-0035,甲府市飯田5丁目11番1号,055-224-5261,http://yamanashi-ken.ac.jp/
都留文科大学,402-8555,都留市田原3丁目8-1,0554-43-4341,http://www.tsuru.ac.jp/
長野県看護大学,399-4117,駒ヶ根市赤穂1694番地,0265-81-5100,http://www.nagano-nurs.ac.jp/
富山県立大学,939-0398,富山県射水市黒河5180番地,0766-56-7500,http://www.pu-toyama.ac.jp/
石川県立看護大学,929-1210,石川県かほく市学園台1丁目1番地,076-281-8300,http://www.ishikawa-nu.ac.jp/
石川県立大学,921-8836,石川県野々市市末松1丁目308番地,076-227-7220,http://www.ishikawa-pu.ac.jp/
金沢美術工芸大学,920-8656,金沢市小立野5丁目11-1,076-262-3531,http://www.kanazawa-bidai.ac.jp/
福井県立大学,910-1195,福井県吉田郡松岡町兼定島4-1-1,0776-61-6000,http://www.fpu.ac.jp/
敦賀市立看護大学,914-0814,福井県敦賀市木崎78号2番地-1,0770-20-5500,http://www.tsuruga-nu.ac.jp/
岐阜県立看護大学,501-6295,羽島市江吉良町3047番1,058-397-2300,http://www.gifu-cn.ac.jp/
情報科学芸術大学院大学,503-0014,大垣市領家町3丁目95番地,0584-75-6600,http://www.iamas.ac.jp/
岐阜薬科大学,501-1196,岐阜市大学西1丁目25番地4,058-230-8100,http://www.gifu-pu.ac.jp/
静岡県立大学,422-8526,静岡市駿河区谷田52-1,054-264-5102,http://www.u-shizuoka-ken.ac.jp/
静岡文化芸術大学,430-8533,静岡県浜松市中区中央二丁目1番1号,053-457-6111,http://www.suac.ac.jp/
愛知県立大学,480-1198,愛知県長久手市茨ヶ廻間1522-3,0561-76-8811,http://www.aichi-pu.ac.jp/
愛知県立芸術大学,480-1194,愛知県長久手市岩作三ヶ峯1-114,0561-62-1180,http://www.aichi-fam-u.ac.jp/
名古屋市立大学,467-8601,名古屋市瑞穂区瑞穂町字川澄1,052-851-5511,http://www.nagoya-cu.ac.jp/
三重県立看護大学,514-0116,三重県津市夢が丘1丁目1番地1,059-233-5600,http://www.mcn.ac.jp/
滋賀県立大学,522-8533,彦根市八坂町2500番地,0749-28-8200,http://www.usp.ac.jp/
京都府立大学,606-8522,京都市左京区下鴨半木町1-5,075-703-5101,http://www.kpu.ac.jp/
京都府立医科大学,602-8566,京都市上京区河原町通広小路上る梶井町465,075-251-5111,http://www.kpu-m.ac.jp/
京都市立芸術大学,610-1197,京都市西京区大枝沓掛町13-6,075-332-0701,http://www.kcua.ac.jp/
福知山公立大学,620-0886,京都府福知山市字堀3370,0773-24-7100,http://www.fukuchiyama.ac.jp/
大阪府立大学,599-8531,堺市中区学園町1番1号,072-252-1161,http://www.osakafu-u.ac.jp/
大阪市立大学,558-8585,大阪市住吉区杉本3丁目3-138,06-6605-2011,http://www.osaka-cu.ac.jp/
兵庫県立大学,651-2197,神戸市西区学園西町8-2-1,078-794-6580,http://www.u-hyogo.ac.jp/
神戸市外国語大学,651-2187,神戸市西区学園東町9丁目1,078-794-8121,http://www.kobe-cufs.ac.jp/
神戸市看護大学,651-2103,神戸市西区学園西町3丁目4,078-794-8080,http://www.kobe-ccn.ac.jp/
奈良県立医科大学,634-8521,橿原市四条町840番地,0744ー22-3051,http://www.naramed-u.ac.jp/
奈良県立大学,630-8258,奈良市船橋町10番地,0742-22-4978,http://www.narapu.ac.jp/
和歌山県立医科大学,641-8509,和歌山市紀三井寺811番1,0734-47-2300,http://www.wakayama-med.ac.jp/
公立鳥取環境大学,689-1111,鳥取市若葉台北一丁目1番1号,0857-38-6700,http://www.kankyo-u.ac.jp/
島根県立大学,697-0016,浜田市野原町2433番2,0855-24-2200,http://www.u-shimane.ac.jp/
岡山県立大学,719-1197,総社市窪木111番地,0866-94-2111,http://www.oka-pu.ac.jp/
新見公立大学,718-8585,岡山県新見市西方1263-2,0867-72-0634,http://www.niimi-c.ac.jp/index.html
県立広島大学,734-8558,広島市南区宇品東1丁目1-71,082-251-5178,http://www.pu-hiroshima.ac.jp/
広島市立大学,731-3194,広島市安佐南区大塚東3-4-1,082-830-1500,http://www.hiroshima-cu.ac.jp/
尾道市立大学,722-8506,広島県尾道市久山田町1600番地2,0848-22-8311,http://www.onomichi-u.ac.jp/index.html
福山市立大学,721-0964,広島県福山市港町二丁目19番1号,084-999-1111,http://www.fcu.ac.jp/index.html
山口県立大学,753-8502,山口市桜畠3丁目2-1,0839-28-0211,http://www.yamaguchi-pu.ac.jp/
下関市立大学,751-8510,下関市大学町2丁目1-1,083-252-0288,http://www.shimonoseki-cu.ac.jp/
山陽小野田市立山口東京理科大学,756-0884,山口県山陽小野田市大学通1-1-1,0836-88-3500,http://www.tusy.ac.jp/
香川県立保健医療大学,761-0123,香川県高松市牟礼町原281番地1,087-870-1212,http://www.pref.kagawa.jp/daigaku/
愛媛県立医療技術大学,791-2101,愛媛県伊予郡砥部町高尾田543番地,089-958-2111,http://www.epu.ac.jp/
高知県立大学,781-8515,高知市池2751番地1,088-847-8700,http://www.u-kochi.ac.jp/
高知工科大学,782-8502,高知県香美市土佐山田町宮ノ口185,0887-53-1111,http://www.kochi-tech.ac.jp/kut_J/index.html
九州歯科大学,803-8580,北九州市小倉北区真鶴2丁目6-1,093-582-1131,http://www.kyu-dent.ac.jp/
福岡女子大学,813-8529,福岡市東区香住ヶ丘1丁目1-1,092-661-2411,http://www.fwu.ac.jp/
福岡県立大学,825-8585,田川市伊田4395番地,0947-42-2118,http://www.fukuoka-pu.ac.jp/
北九州市立大学,802-8577,北九州市小倉南区北方4丁目2番1号,093-964-4004,http://www.kitakyu-u.ac.jp/
長崎県立大学,858-8580,佐世保市川下町123,0956-47-2191,http://sun.ac.jp/
熊本県立大学,862-8502,熊本市東区月出3丁目1番地100号,096-383-2929,http://www.pu-kumamoto.ac.jp/index.php
大分県立看護科学大学,870-1201,大分市廻栖野2944-9,097-586-4300,http://www.oita-nhs.ac.jp/
宮崎県立看護大学,880-0929,宮崎市まなび野3丁目5番地1,0985-59-7700,http://www.mpu.ac.jp/
宮崎公立大学,880-8520,宮崎市船塚1丁目1番地2,0985-20-2000,http://www.miyazaki-mu.ac.jp/
沖縄県立芸術大学,903-8602,那覇市首里当蔵町1丁目4,098-882-5000,http://www.okigei.ac.jp/
沖縄県立看護大学,902-8513,那覇市与儀1丁目24番地1号,098-833-8800,http://www.okinawa-nurs.ac.jp/
名桜大学,905-8585,沖縄県名護市字為又1220-1,0980-51-1100,http://www.meio-u.ac.jp/
